,avg_rss12_mean,avg_rss12_std,avg_rss12_max,var_rss12_mean,var_rss12_std,var_rss12_max,avg_rss13_mean,avg_rss13_std,avg_rss13_max,var_rss13_mean,var_rss13_std,var_rss13_max,avg_rss23_mean,avg_rss23_std,avg_rss23_max,var_rss23_mean,var_rss23_std,var_rss23_max,Class
b1_3,43.9545,1.558835066,47.4,0.42625,0.338690374,1.7,22.12235417,3.030942804,29.75,0.4973125,0.55065729,4.44,35.58845833,1.999604063,38.5,0.493291667,0.513506101,1.79,1
b1_4,42.1798125,3.670665661,47.75,0.696041667,0.630860299,3,22.183625,3.810469341,30,0.989916667,0.953730393,5.15,33.49391667,3.849447819,38.67,0.613520833,0.524317132,2.18,1
b1_5,41.6780625,2.243490001,45.75,0.535979167,0.405468722,2.83,19.0065625,4.08710688,28.25,0.841875,0.928800731,6.42,29.85708333,2.411026391,37.5,0.383291667,0.389164297,1.79,1
b1_6,43.45495833,1.38609784,48,0.378083333,0.315566352,1.58,15.79333333,3.847637636,27,0.849354167,0.995761477,10.03,23.03479167,2.48886228,33.5,0.679645833,0.622533781,5.26,1
b1_7,43.969125,1.618363585,48,0.413125,0.263110955,1.5,15.86802083,3.742420209,26.33,0.666354167,0.788984601,5.17,22.10375,3.318301138,30.75,0.5553125,0.487826232,2.96,1
b2_3,32.58620833,6.238143309,50,0.516125,0.789957046,9.9,13.941625,5.88326634,28.25,0.868895833,1.027012729,7.4,20.34570833,5.032424253,33.75,1.162041667,1.332979928,13.61,1
b2_4,32.5,0,32.5,0.5,0,0.5,0,0,0,0,0,0,19,0,19,1,0,1,1
b2_5,30.93810417,7.684145836,45.5,0.467166667,0.734444455,6.4,14.58983333,7.638935151,32.75,0.777541667,1.014101924,11.42,18.38908333,5.845911227,36,1.107354167,1.080841839,6.73,1
b2_6,31.05825,4.829794432,47.5,0.405458333,0.566667914,6.38,15.29666667,4.841974887,28.33,0.823541667,0.902247922,5.32,14.4071875,7.853426749,40.33,1.098104167,0.831480274,4.92,1
cy_4,36.22839583,3.52861688,44,2.8316875,1.886689301,12.28,15.4245,3.249834324,25.25,3.119125,1.683513222,9.5,15.872375,3.166654515,24.5,3.4806875,1.827769025,9.98,0
cy_5,36.68729167,3.529404156,44.33,2.973041667,2.073902537,12.89,18.39679167,3.771097883,28.25,2.976604167,1.861730156,9.63,16.48,2.978237699,24.67,3.0733125,1.629674861,8.19,0
cy_6,37.1143125,3.710384618,45,2.73,1.924365904,10.84,16.66391667,3.612220686,27.25,3.138541667,1.84768036,10.57,16.48754167,2.847876072,23.33,3.076354167,1.824534213,9.5,0
cy_7,36.863375,3.555786995,44.75,2.7573125,2.115957678,11.68,16.49475,3.58818252,27,3.013604167,1.774530703,9.01,16.58114583,2.655905568,23,2.7733125,1.56991884,8.81,0
cy_8,36.95745833,3.434862679,44.25,2.420083333,1.724901375,8.64,15.31341667,3.034030095,26.5,2.784145833,1.542971572,8.06,15.98916667,2.851673159,22.25,2.934625,1.631380125,8.34,0
cy_9,37.14483333,3.758903914,44.67,2.4190625,1.643174583,10.76,14.99847917,3.289537152,24.75,2.849625,1.715184873,9,16.77352083,2.689290579,23,2.8224375,1.637182676,8.75,0
cy_10,36.81952083,3.900459367,45,2.600145833,1.821403878,10.47,15.302625,3.504932549,25,2.937020833,1.661464153,10.61,17.29627083,2.781030443,24.67,2.8875625,1.723094178,8.99,0
cy_11,36.54166667,4.018922431,44.33,2.847958333,1.89239694,10.43,16.1560625,3.439020184,27.67,3.055458333,1.742389296,9.63,17.062625,3.088140792,24.5,3.225458333,1.769757835,9.18,0
cy_12,35.75235417,4.614801692,44.25,3.328104167,2.140576072,12.6,16.05502083,3.446145831,27,2.871125,1.70481964,9.46,16.00127083,3.12005665,24.33,3.069666667,1.748325621,9.39,0
cy_13,35.879875,4.614877591,43.75,3.4143125,2.237955455,11.2,16.690375,3.009363374,26.5,3.128354167,1.77946979,8.87,17.0783125,3.537634624,26.5,3.093020833,1.626034098,8.5,0
cy_14,36.24408333,3.822015775,43.5,2.736020833,2.092001619,9.71,18.43570833,4.021628987,28.5,3.129791667,1.810499291,9.78,18.49714583,3.617701721,27,3.5305,1.963685385,11.15,0
cy_15,37.17704167,3.581301066,45,2.374208333,1.601799288,8.58,16.53108333,3.430906451,26.75,2.910604167,1.60013708,8.05,19.60725,2.890347253,25.5,2.921729167,1.85259997,9.34,0
ly_4,42.7060625,3.537476206,51,0.5198125,0.484085956,4.85,10.90995833,3.208410594,23,0.3320625,0.599694874,5.72,4.303979167,4.253807456,22.25,0.5493125,0.648402683,4.97,0
ly_5,39.66783333,0.280157824,41,0.583604167,0.194584643,1,10.83420833,2.469507612,15,0.3474375,0.409144808,2.49,5.779479167,4.097351446,14.5,0.6359375,0.608399416,3.49,0
ly_6,39.5061875,1.817498409,40.67,0.496479167,0.145545908,1,6.550083333,2.60708141,13.25,0.823854167,0.760193869,4.03,11.765625,2.336680287,16.25,0.622916667,0.498888779,3.19,0
ly_7,39.43379167,0.208557523,40,0.422104167,0.160379084,1,5.841145833,3.497858298,12.2,0.399020833,0.438666702,3.27,10.89745833,3.321621677,18,0.582708333,0.43844163,4.06,0
ly_8,39.34710417,0.231405232,40,0.366395833,0.195814581,0.5,4.382208333,2.456798951,11.33,0.502916667,0.504672358,3.54,16.2123125,2.223355217,18.67,0.588458333,0.423434755,3.5,0
ly_9,47.325125,5.961280283,56.25,0.2743125,0.562728911,8.49,9.5319375,3.987097588,18.25,0.785729167,0.811636076,5.72,14.299125,4.142132425,21,0.766166667,0.723953058,5.72,0
ly_10,27.716375,1.442253436,30,0.3636875,0.394817082,1.79,6.078104167,3.468655042,13.25,0.870041667,0.777419584,5.02,8.337020833,4.074453545,21,0.735395833,0.612833736,4.5,0
ly_11,48.00416667,0.032038164,48.25,0.007166667,0.055105643,0.43,4.9005625,2.566428982,13,0.3973125,0.447126836,2.86,7.624895833,3.268502302,12,0.641229167,0.388372158,2.5,0
ly_12,39.66783333,0.280157824,41,0.583604167,0.194584643,1,10.83420833,2.469507612,15,0.3474375,0.409144808,2.49,5.779479167,4.097351446,14.5,0.6359375,0.608399416,3.49,0
ly_13,39.43379167,0.208557523,40,0.422104167,0.160379084,1,5.841145833,3.497858298,12.2,0.399020833,0.438666702,3.27,10.89745833,3.321621677,18,0.582708333,0.43844163,4.06,0
ly_14,47.325125,5.961280283,56.25,0.2743125,0.562728911,8.49,9.5319375,3.987097588,18.25,0.785729167,0.811636076,5.72,14.299125,4.142132425,21,0.766166667,0.723953058,5.72,0
ly_15,27.716375,1.442253436,30,0.3636875,0.394817082,1.79,6.0785625,3.468994219,13.25,0.871020833,0.777399981,5.02,8.3374375,4.074511216,21,0.734270833,0.613688232,4.5,0
sit_4,44.75395833,0.520308803,46,0.153916667,0.258815499,1.12,18.57960417,4.128090144,27.25,0.6253125,0.675657807,5.17,19.26508333,4.12751453,30.75,0.764083333,0.652090899,4.3,0
sit_5,36.5600625,5.915081411,45.75,0.422166667,0.772992108,12.19,14.89483333,5.459764803,24,0.740520833,0.832855803,5.12,17.14972917,2.863599595,27,0.854833333,0.717602693,6.26,0
sit_6,32.90597917,3.505775712,38.67,0.45675,0.538783386,2.49,16.30591667,5.164882745,23.75,0.664791667,0.768113731,5.12,18.08722917,3.736306722,23.5,0.791354167,0.755738823,5.12,0
sit_7,38.888375,3.64290122,50.75,0.3834375,0.488937385,6.06,14.85416667,3.926922296,23.25,0.654270833,0.708297003,6.02,16.52202083,4.978530008,23.75,0.840208333,0.750636166,5.17,0
sit_8,42.8219833,0.89181801,45,0.335678497,0.26035683,1.12,17.19970772,3.898005863,23,0.531189979,0.763926246,5.45,16.02565762,4.112285494,23,0.856012526,0.764800524,6.36,0
sit_9,43.19085417,1.230345056,46.5,0.266270833,0.271587865,1.5,14.8583125,4.727836223,21.67,0.510208333,0.54269716,4.64,16.04316667,3.027168967,22,0.806229167,0.645476107,5.45,0
sit_10,40.21927083,2.741217231,48.5,0.617479167,0.485416658,3.28,14.85122917,4.929223743,23.5,0.872229167,0.988864635,5.12,15.16727083,5.313752655,27.33,1.057729167,1.025925342,6.36,0
sit_11,43.88483333,3.198893855,48.25,0.517354167,0.394064363,3.28,14.997375,5.621780729,24.25,1.0476875,1.097028186,6.98,14.92054167,5.258598498,25,1.354916667,1.150883111,7,0
sit_12,42.11158333,1.122244616,45,0.3419375,0.295804688,1.09,11.44225,4.53966517,21.8,0.889395833,1.072167847,7.31,12.97391667,4.847545283,23,0.961166667,0.882784486,6.36,0
sit_13,42.28266667,1.356148903,44.75,0.498354167,0.147984368,1,9.469541667,5.313779641,22.75,0.899645833,0.836194082,5.68,12.5371875,6.03979688,23.25,0.869,0.794212521,7.85,0
sit_14,42.3601875,1.01737154,44.67,0.4825,0.246388528,1,12.88454167,4.01288387,23.5,0.6200625,0.747947083,5.93,15.2604375,6.466785543,26.67,0.7198125,0.608546444,4.64,0
sit_15,42.72885417,2.046361744,46,0.555333333,0.382543806,4.72,15.82364583,4.879742952,24,0.758270833,0.907714863,6.12,16.4089375,4.293969301,24,0.892083333,0.851174942,5.1,0
stand_4,42.64852083,2.395338048,46.67,0.402833333,0.413718679,2.95,18.12929167,2.850421995,21.25,0.467979167,0.687212973,7.5,12.06041667,3.141679443,20.75,0.917354167,0.709637709,4.64,0
stand_5,43.72002083,2.38410459,47.5,0.366708333,0.374116633,1.92,17.01027083,2.71221857,21,0.544333333,0.743740177,6.02,13.19827083,3.289138342,20.25,1.0396875,0.916657326,6.18,0
stand_6,44.47114583,1.77255337,47.75,0.290479167,0.392914249,2.18,17.94854167,2.513796246,21.33,0.56625,0.700981194,5.54,13.21008333,2.612389781,19.67,0.927375,0.756435842,4.32,0
stand_7,46.2249375,1.748315024,48,0.312354167,0.464541078,4.5,15.0316875,4.313437888,21,0.5985,0.679232835,5.12,13.39402083,2.931580527,21,0.882583333,0.668423498,6,0
stand_8,46.93220833,1.83266525,48,0.429666667,0.367267023,4.6,16.84785417,2.617513478,21,0.5354375,0.713323118,6.52,13.281875,3.134821705,21.25,0.991125,0.855329104,6.58,0
stand_9,45.399625,1.32812104,47.67,0.460145833,0.269888594,1.66,17.67139583,1.745801145,21.25,0.4413125,0.478166019,4.11,12.42854167,3.374095156,19.75,0.795104167,0.503006815,4.5,0
stand_10,42.41991667,2.520129233,45.8,0.4605625,0.38740491,2.12,16.32054167,2.466756705,24,0.749895833,0.667631427,5.59,10.06775,3.722074076,22,1.226270833,0.891987793,6.65,0
stand_11,42.51695833,2.195750574,48.25,0.4406875,0.349430414,2.12,13.21872917,4.735348776,21.75,0.7999375,0.867768354,5.61,14.63975,3.62355659,21,0.977416667,0.853279559,6.85,0
stand_12,42.95935417,1.50087817,45.5,0.352875,0.313585343,2.6,11.7804375,3.021746377,22,0.5641875,0.638179305,4.72,14.94602083,2.702604674,20.25,0.748479167,0.461151753,4,0
stand_13,42.67458333,2.384169571,47.33,0.419166667,0.368383215,2.17,12.11070833,3.556719877,21,0.5675,0.71836424,5.56,14.24745833,3.261616944,19.67,0.702041667,0.567450805,3.77,0
stand_14,43.18752083,2.491161726,45.75,0.271270833,0.328807311,2.83,12.72810417,3.859886521,22.75,0.642708333,0.677273299,3.74,18.2014375,3.566038283,24,0.645458333,0.56741898,3.83,0
stand_15,44.4411875,2.417796502,47.33,0.346604167,0.358113139,4.5,13.35627083,2.955020788,21,0.645583333,0.718202693,5.54,12.61154167,3.414454373,21,1.155083333,0.842087322,5.91,0
wa_4,35.19333333,4.751867948,46,4.321020833,2.625516114,16.2,15.46222917,3.114222112,24.5,3.072854167,1.508713723,8.76,16.10120833,3.207642199,23.5,3.241958333,1.769182465,8.5,0
wa_5,34.76333333,4.742208084,46.25,4.223791667,2.278004428,12.68,15.23902083,2.920828607,23.75,3.2070625,1.590471863,9.2,16.2995625,3.17468076,25.5,3.288270833,1.647527701,9.39,0
wa_6,34.9358125,4.645944487,51,4.11575,2.335242621,12.21,15.52452083,2.90024824,23.33,3.092791667,1.50344577,9.09,15.99722917,3.192057803,25,3.280020833,1.700917657,10.21,0
wa_7,34.33304167,4.948769856,47.67,4.396958333,2.568679977,12.48,15.56289583,2.96774092,23.33,3.1983125,1.676270548,9.01,15.8644375,3.000492669,24,3.261583333,1.617289671,8.01,0
wa_8,34.599875,4.73178966,45.75,4.398833333,2.538520909,15.37,15.17366667,3.036746263,24,3.1455,1.5913463,9.18,16.0555625,2.905687766,23.25,3.289541667,1.680169553,8.86,0
wa_9,34.225875,4.44179759,43.67,4.3545,2.518990619,17.24,15.60647917,2.812273707,23,3.365375,1.730792433,9.2,16.148,2.992920136,24,3.479541667,1.76114625,9.42,0
wa_10,34.25352083,4.940741146,51.25,4.457895833,2.387192328,13.55,15.24629167,2.960901093,24,3.279145833,1.759378656,9.5,15.71608333,3.116626983,24.25,3.50075,1.692377563,8.32,0
wa_11,33.586875,4.65093546,45.33,4.5765625,2.461077139,14.67,15.31785417,2.970440064,23.25,3.227229167,1.647474194,9,15.89214583,3.283983429,25,3.259729167,1.640243289,8.32,0
wa_12,34.32275,4.752477031,45.5,4.456333333,2.599284126,13.47,15.20977083,2.711022377,22.25,3.277229167,1.500046078,9,15.55045833,3.119856234,23.25,3.4325625,1.732727193,9.67,0
wa_13,34.54622917,4.842293508,46,4.371958333,2.360448437,12.47,15.18572917,2.75760355,22.67,3.0286875,1.665184369,8.34,15.75954167,2.823124056,22.75,3.338125,1.656742353,10,0
wa_14,34.87322917,4.531720098,46.25,4.380583333,2.435437415,14.82,15.4711875,2.813077432,24.25,3.2056875,1.519347853,9.9,15.87389583,3.13107591,23.5,3.424645833,1.690959839,9.51,0
wa_15,34.4731875,4.796705424,44,4.3593125,2.388746438,13.86,15.42470833,2.802065879,22.75,3.188270833,1.602504215,9.1,15.70416667,3.156319924,23.25,3.340458333,1.699114161,9,0
